排名,英文,語料次數,頻率層,詞性,中文,學習優先度,類型,過去式,過去分詞,不規則,筆記
1,the,80030,01｜最高頻,功能字,這個；那個；該,A 基礎必會,文法／連接／介系詞,—,—,—,
2,of,40025,01｜最高頻,功能字,…的；由…構成,A 基礎必會,文法／連接／介系詞,—,—,—,
3,and,38313,01｜最高頻,功能字,和；而且,A 基礎必會,文法／連接／介系詞,—,—,—,
4,to,28766,01｜最高頻,功能字,到；向；不定詞符號,A 基礎必會,文法／連接／介系詞,—,—,—,
5,in,22050,01｜最高頻,功能字,在…裡,A 基礎必會,文法／連接／介系詞,—,—,—,
6,a,21155,01｜最高頻,功能字,一個；一種,A 基礎必會,文法／連接／介系詞,—,—,—,
7,that,12512,01｜最高頻,功能字,那個；那；以致,A 基礎必會,文法／連接／介系詞,—,—,—,
8,he,12401,01｜最高頻,功能字,他,A 基礎必會,文法／連接／介系詞,—,—,—,
9,was,11410,01｜最高頻,,,A 基礎優先,,,,,
10,it,10681,01｜最高頻,功能字,它,A 基礎必會,文法／連接／介系詞,—,—,—,
11,his,10034,01｜最高頻,功能字,他的,A 基礎必會,文法／連接／介系詞,—,—,—,
12,is,9774,01｜最高頻,,,A 基礎優先,,,,,
13,with,9740,01｜最高頻,功能字,和；用；帶有,A 基礎必會,文法／連接／介系詞,—,—,—,
14,as,8064,01｜最高頻,功能字,作為；當…時；和…一樣,A 基礎必會,文法／連接／介系詞,—,—,—,
15,i,7687,01｜最高頻,功能字,我,A 基礎必會,文法／連接／介系詞,—,—,—,
16,had,7383,01｜最高頻,,,A 基礎優先,,,,,
17,for,6941,01｜最高頻,功能字,為了；給；持續,A 基礎必會,文法／連接／介系詞,—,—,—,
18,at,6791,01｜最高頻,功能字,在；於,A 基礎必會,文法／連接／介系詞,—,—,—,
19,by,6738,01｜最高頻,功能字,由；藉由；在…以前,A 基礎必會,文法／連接／介系詞,—,—,—,
20,on,6643,01｜最高頻,功能字,在…上,A 基礎必會,文法／連接／介系詞,—,—,—,
21,not,6626,01｜最高頻,,,A 基礎優先,,,,,
22,be,6155,01｜最高頻,v.,是；存在,A 基礎必會,動詞,was/were,been,是,
23,from,5709,01｜最高頻,功能字,從；來自,A 基礎必會,文法／連接／介系詞,—,—,—,
24,but,5653,01｜最高頻,功能字,但是,A 基礎必會,文法／連接／介系詞,—,—,—,
25,s,5636,01｜最高頻,,,A 基礎優先,,,,,
26,you,5622,01｜最高頻,功能字,你；你們,A 基礎必會,文法／連接／介系詞,—,—,—,
27,or,5352,01｜最高頻,功能字,或者；否則,A 基礎必會,文法／連接／介系詞,—,—,—,
28,her,5284,01｜最高頻,功能字,她,A 基礎必會,文法／連接／介系詞,—,—,—,
29,him,5230,01｜最高頻,功能字,他,A 基礎必會,文法／連接／介系詞,—,—,—,
30,which,4842,01｜最高頻,功能字,哪一個,A 基礎必會,文法／連接／介系詞,—,—,—,
31,were,4289,01｜最高頻,,,A 基礎優先,,,,,
32,all,4144,01｜最高頻,功能字,全部；所有,A 基礎必會,文法／連接／介系詞,—,—,—,
33,this,4063,01｜最高頻,功能字,這個,A 基礎必會,文法／連接／介系詞,—,—,—,
34,she,3946,01｜最高頻,功能字,她,A 基礎必會,文法／連接／介系詞,—,—,—,
35,they,3938,01｜最高頻,功能字,他們,A 基礎必會,文法／連接／介系詞,—,—,—,
36,are,3630,01｜最高頻,,,A 基礎優先,,,,,
37,have,3493,01｜最高頻,v.,有,A 基礎必會,動詞,had,had,是,
38,said,3464,01｜最高頻,,,A 基礎優先,,,,,
39,an,3423,01｜最高頻,功能字,一個；一種,A 基礎必會,文法／連接／介系詞,—,—,—,
40,one,3371,01｜最高頻,,,A 基礎優先,,,,,
41,who,3050,01｜最高頻,功能字,誰；…的人,A 基礎必會,文法／連接／介系詞,—,—,—,
42,so,3017,01｜最高頻,功能字,所以；如此,A 基礎必會,文法／連接／介系詞,—,—,—,
43,what,3011,01｜最高頻,功能字,什麼,A 基礎必會,文法／連接／介系詞,—,—,—,
44,there,2972,01｜最高頻,功能字,那裡；有,A 基礎必會,文法／連接／介系詞,—,—,—,
45,their,2955,01｜最高頻,功能字,他們的,A 基礎必會,文法／連接／介系詞,—,—,—,
46,when,2923,01｜最高頻,功能字,何時；當…時,A 基礎必會,文法／連接／介系詞,—,—,—,
47,been,2599,01｜最高頻,,,A 基礎優先,,,,,
48,may,2551,01｜最高頻,功能字,可能；可以,A 基礎必會,文法／連接／介系詞,—,—,—,
49,if,2373,01｜最高頻,功能字,如果；是否,A 基礎必會,文法／連接／介系詞,—,—,—,
50,no,2348,01｜最高頻,功能字,沒有；不,A 基礎必會,文法／連接／介系詞,—,—,—,
51,up,2284,01｜最高頻,,,A 基礎優先,,,,,
52,my,2249,01｜最高頻,功能字,我的,A 基礎必會,文法／連接／介系詞,—,—,—,
53,them,2241,01｜最高頻,功能字,他們,A 基礎必會,文法／連接／介系詞,—,—,—,
54,into,2124,01｜最高頻,功能字,進入；變成,A 基礎必會,文法／連接／介系詞,—,—,—,
55,more,1997,01｜最高頻,功能字,更多,A 基礎必會,文法／連接／介系詞,—,—,—,
56,out,1987,01｜最高頻,adv.,出去,B 中高級核心,副詞,—,—,—,
57,pierre,1964,01｜最高頻,,,A 基礎優先,,,,,
58,would,1953,01｜最高頻,功能字,會；將會；願意,A 基礎必會,文法／連接／介系詞,—,—,—,
59,prince,1935,01｜最高頻,,,A 基礎優先,,,,,
60,me,1920,01｜最高頻,功能字,我,A 基礎必會,文法／連接／介系詞,—,—,—,
61,we,1906,01｜最高頻,功能字,我們,A 基礎必會,文法／連接／介系詞,—,—,—,
62,did,1875,01｜最高頻,,,A 基礎優先,,,,,
63,only,1873,01｜最高頻,adv.,只有；僅僅,B 中高級核心,副詞,—,—,—,
64,could,1700,01｜最高頻,功能字,能夠；可能,A 基礎必會,文法／連接／介系詞,—,—,—,
65,now,1697,01｜最高頻,adv.,現在,B 中高級核心,副詞,—,—,—,
66,man,1652,01｜最高頻,,,A 基礎優先,,,,,
67,its,1635,01｜最高頻,,,A 基礎優先,,,,,
68,has,1603,01｜最高頻,,,A 基礎優先,,,,,
69,will,1577,01｜最高頻,功能字,將會,A 基礎必會,文法／連接／介系詞,—,—,—,
70,then,1558,01｜最高頻,,,A 基礎優先,,,,,
71,some,1536,01｜最高頻,功能字,一些,A 基礎必會,文法／連接／介系詞,—,—,—,
72,time,1529,01｜最高頻,n.,時間；次數,B 中高級核心,名詞,—,—,—,
73,after,1504,01｜最高頻,功能字,在…之後,A 基礎必會,文法／連接／介系詞,—,—,—,
74,do,1503,01｜最高頻,v.,做,A 基礎必會,動詞,did,done,是,
75,other,1502,01｜最高頻,功能字,其他的,A 基礎必會,文法／連接／介系詞,—,—,—,
76,about,1497,01｜最高頻,功能字,關於；大約,A 基礎必會,文法／連接／介系詞,—,—,—,
77,such,1436,01｜最高頻,,,A 基礎優先,,,,,
78,before,1363,01｜最高頻,功能字,在…以前,A 基礎必會,文法／連接／介系詞,—,—,—,
79,very,1340,01｜最高頻,adv.,非常,B 中高級核心,副詞,—,—,—,
80,t,1318,01｜最高頻,,,A 基礎優先,,,,,
81,how,1315,01｜最高頻,功能字,如何；多麼,A 基礎必會,文法／連接／介系詞,—,—,—,
82,should,1297,01｜最高頻,功能字,應該,A 基礎必會,文法／連接／介系詞,—,—,—,
83,over,1282,01｜最高頻,功能字,在…上方；超過,A 基礎必會,文法／連接／介系詞,—,—,—,
84,your,1279,01｜最高頻,功能字,你的,A 基礎必會,文法／連接／介系詞,—,—,—,
85,these,1231,01｜最高頻,功能字,這些,A 基礎必會,文法／連接／介系詞,—,—,—,
86,natasha,1212,01｜最高頻,,,A 基礎優先,,,,,
87,new,1211,01｜最高頻,adj.,新的,B 中高級核心,形容詞,—,—,—,
88,than,1206,01｜最高頻,功能字,比,A 基礎必會,文法／連接／介系詞,—,—,—,
89,any,1204,01｜最高頻,功能字,任何；一些,A 基礎必會,文法／連接／介系詞,—,—,—,
90,those,1201,01｜最高頻,功能字,那些,A 基礎必會,文法／連接／介系詞,—,—,—,
91,well,1198,01｜最高頻,adv.,好地,B 中高級核心,副詞,—,—,—,
92,old,1180,01｜最高頻,adj.,老的；舊的,B 中高級核心,形容詞,—,—,—,
93,first,1177,01｜最高頻,,,A 基礎優先,,,,,
94,andrew,1169,01｜最高頻,,,A 基礎優先,,,,,
95,himself,1158,01｜最高頻,,,A 基礎優先,,,,,
96,men,1145,01｜最高頻,,,A 基礎優先,,,,,
97,two,1138,01｜最高頻,,,A 基礎優先,,,,,
98,down,1128,01｜最高頻,adv.,向下,A 基礎必會,副詞,—,—,—,
99,face,1125,01｜最高頻,n.,臉,A 基礎必會,名詞,—,—,—,
100,upon,1111,01｜最高頻,功能字,在…之上；一…就,A 基礎必會,文法／連接／介系詞,—,—,—,
101,see,1101,01｜最高頻,v.,看見,A 基礎必會,動詞,saw,seen,是,
102,can,1095,01｜最高頻,功能字,能；可以,A 基礎必會,文法／連接／介系詞,—,—,—,
103,like,1080,01｜最高頻,,,A 基礎優先,,,,,
104,french,1070,01｜最高頻,,,A 基礎優先,,,,,
105,our,1066,01｜最高頻,功能字,我們的,A 基礎必會,文法／連接／介系詞,—,—,—,
106,same,1052,01｜最高頻,adj.,相同的,B 中高級核心,形容詞,—,—,—,
107,know,1048,01｜最高頻,v.,知道；認識,A 基礎必會,動詞,knew,known,是,
108,without,1015,01｜最高頻,功能字,沒有；不帶,A 基礎必會,文法／連接／介系詞,—,—,—,
109,went,1008,01｜最高頻,,,A 基礎優先,,,,,
110,made,1007,01｜最高頻,,,A 基礎優先,,,,,
111,little,1001,01｜最高頻,功能字/adj.,少量,A 基礎必會,文法／連接／介系詞；形容詞,—,—,—,
112,long,991,01｜最高頻,adj.,長的,B 中高級核心,形容詞,—,—,—,
113,states,981,01｜最高頻,,,A 基礎優先,,,,,
114,came,979,01｜最高頻,,,A 基礎優先,,,,,
115,where,977,01｜最高頻,功能字,哪裡；在…的地方,A 基礎必會,文法／連接／介系詞,—,—,—,
116,under,963,01｜最高頻,功能字,在…下面,A 基礎必會,文法／連接／介系詞,—,—,—,
117,room,960,01｜最高頻,n.,房間；空間,B 中高級核心,名詞,—,—,—,
118,must,955,01｜最高頻,功能字,必須；一定,A 基礎必會,文法／連接／介系詞,—,—,—,
119,even,946,01｜最高頻,,,A 基礎優先,,,,,
120,eyes,939,01｜最高頻,,,A 基礎優先,,,,,
121,come,934,01｜最高頻,v.,來,A 基礎必會,動詞,came,come,是,
122,still,922,01｜最高頻,adv.,仍然,B 中高級核心,副詞,—,—,—,
123,princess,919,01｜最高頻,,,A 基礎優先,,,,,
124,being,918,01｜最高頻,,,A 基礎優先,,,,,
125,most,908,01｜最高頻,功能字,最多,A 基礎必會,文法／連接／介系詞,—,—,—,
126,go,905,01｜最高頻,v.,去,A 基礎必會,動詞,went,gone,是,
127,thought,902,01｜最高頻,n.,想法,B 中高級核心,名詞,—,—,—,
128,people,899,01｜最高頻,n.,人們,B 中高級核心,名詞,—,—,—,
129,war,881,01｜最高頻,n.,戰爭,B 中高級核心,名詞,—,—,—,
130,life,878,01｜最高頻,n.,生命；生活,B 中高級核心,名詞,—,—,—,
131,again,866,01｜最高頻,adv.,再一次,A 基礎必會,副詞,—,—,—,
132,way,859,01｜最高頻,n.,方法；道路,B 中高級核心,名詞,—,—,—,
133,another,841,01｜最高頻,功能字,另一個；再一個,A 基礎必會,文法／連接／介系詞,—,—,—,
134,away,838,01｜最高頻,adv.,離開；在遠處,A 基礎必會,副詞,—,—,—,
135,general,836,01｜最高頻,adj.,一般的,A 基礎必會,形容詞,—,—,—,
136,hand,834,01｜最高頻,n.,手,B 中高級核心,名詞,—,—,—,
137,left,834,01｜最高頻,,,A 基礎優先,,,,,
138,day,819,01｜最高頻,n.,天,A 基礎必會,名詞,—,—,—,
139,through,815,01｜最高頻,功能字,穿過；透過,A 基礎必會,文法／連接／介系詞,—,—,—,
140,began,810,01｜最高頻,,,A 基礎優先,,,,,
141,great,792,01｜最高頻,adj.,很棒的；巨大的,B 中高級核心,形容詞,—,—,—,
142,own,785,01｜最高頻,,,A 基礎優先,,,,,
143,also,778,01｜最高頻,adv.,也；此外,A 基礎必會,副詞,—,—,—,
144,asked,777,01｜最高頻,,,A 基礎優先,,,,,
145,rostov,776,01｜最高頻,,,A 基礎優先,,,,,
146,while,768,01｜最高頻,功能字,當…時；然而,A 基礎必會,文法／連接／介系詞,—,—,—,
147,just,767,01｜最高頻,,,A 基礎優先,,,,,
148,army,764,01｜最高頻,n.,軍隊,A 基礎必會,名詞,—,—,—,
149,looked,760,01｜最高頻,,,A 基礎優先,,,,,
150,american,755,01｜最高頻,,,A 基礎優先,,,,,
151,say,755,01｜最高頻,v.,說,A 基礎必會,動詞,said,said,是,
152,count,748,01｜最高頻,,,A 基礎優先,,,,,
153,am,746,01｜最高頻,,,A 基礎優先,,,,,
154,back,746,01｜最高頻,adv.,回去,A 基礎必會,副詞,—,—,—,
155,good,744,01｜最高頻,adj.,好的,A 基礎必會,形容詞,—,—,—,
156,whole,744,01｜最高頻,adj.,整個的,B 中高級核心,形容詞,—,—,—,
157,shall,735,01｜最高頻,,,A 基礎優先,,,,,
158,head,725,01｜最高頻,,,A 基礎優先,,,,,
159,moscow,723,01｜最高頻,,,A 基礎優先,,,,,
160,right,710,01｜最高頻,adj.,正確的,B 中高級核心,形容詞,—,—,—,
161,mary,705,01｜最高頻,,,A 基礎優先,,,,,
162,part,704,01｜最高頻,n.,部分；角色,B 中高級核心,名詞,—,—,—,
163,government,698,01｜最高頻,n.,政府,B 中高級核心,名詞,—,—,—,
164,felt,697,01｜最高頻,,,A 基礎優先,,,,,
165,seemed,695,01｜最高頻,,,A 基礎優先,,,,,
166,here,691,01｜最高頻,功能字/adv.,這裡,A 基礎必會,文法／連接／介系詞；副詞,—,—,—,
167,yes,688,01｜最高頻,,,A 基礎優先,,,,,
168,us,684,01｜最高頻,功能字,我們,A 基礎必會,文法／連接／介系詞,—,—,—,
169,something,683,01｜最高頻,,,A 基礎優先,,,,,
170,why,674,01｜最高頻,功能字,為什麼,A 基礎必會,文法／連接／介系詞,—,—,—,
171,having,673,01｜最高頻,,,A 基礎優先,,,,,
172,place,673,01｜最高頻,n.,地方,B 中高級核心,名詞,—,—,—,
173,much,671,01｜最高頻,功能字,很多,A 基礎必會,文法／連接／介系詞,—,—,—,
174,state,664,01｜最高頻,n.,狀態；州,B 中高級核心,名詞,—,—,—,
175,house,661,01｜最高頻,n.,房子,B 中高級核心,名詞,—,—,—,
