原形,過去式,過去分詞 p.p.,中文意思,不規則,現在完成式提示,筆記
accept,accepted,accepted,接受,否,have/has accepted,
accompany,accompanied,accompanied,陪伴,否,have/has accompanied,
accomplish,accomplished,accomplished,完成；達成,否,have/has accomplished,
achieve,achieved,achieved,達成；實現,否,have/has achieved,
acknowledge,acknowledged,acknowledged,承認；確認,否,have/has acknowledged,
acquire,acquired,acquired,獲得；習得,否,have/has acquired,
act,acted,acted,行動；表演,否,have/has acted,
adapt,adapted,adapted,適應；改編,否,have/has adapted,
add,added,added,增加；加上,否,have/has added,
adjust,adjusted,adjusted,調整,否,have/has adjusted,
admit,admitted,admitted,承認；准許進入,否,have/has admitted,
adopt,adopted,adopted,採用；收養,否,have/has adopted,
advertise,advertised,advertised,做廣告,否,have/has advertised,
advise,advised,advised,建議,否,have/has advised,
affect,affected,affected,影響,否,have/has affected,
afford,afforded,afforded,負擔得起,否,have/has afforded,
agree,agreed,agreed,同意,否,have/has agreed,
allow,allowed,allowed,允許,否,have/has allowed,
analyze,analyzed,analyzed,分析,否,have/has analyzed,
announce,announced,announced,宣布,否,have/has announced,
apologize,apologized,apologized,道歉,否,have/has apologized,
appear,appeared,appeared,出現；似乎,否,have/has appeared,
apply,applied,applied,申請；應用,否,have/has applied,
appreciate,appreciated,appreciated,感謝；欣賞,否,have/has appreciated,
approach,approached,approached,接近；處理,否,have/has approached,
approve,approved,approved,批准；同意,否,have/has approved,
argue,argued,argued,爭論；主張,否,have/has argued,
arrange,arranged,arranged,安排,否,have/has arranged,
arrive,arrived,arrived,到達,否,have/has arrived,
ask,asked,asked,詢問；要求,否,have/has asked,
assist,assisted,assisted,協助,否,have/has assisted,
assume,assumed,assumed,假設,否,have/has assumed,
attach,attached,attached,附上；連接,否,have/has attached,
attempt,attempted,attempted,嘗試,否,have/has attempted,
attract,attracted,attracted,吸引,否,have/has attracted,
avoid,avoided,avoided,避免,否,have/has avoided,
be,was/were,been,是；存在,是,have/has been,
beat,beat,beaten,打敗；敲打,是,have/has beaten,
become,became,become,變成,是,have/has become,
begin,began,begun,開始,是,have/has begun,
believe,believed,believed,相信,否,have/has believed,
belong,belonged,belonged,屬於,否,have/has belonged,
bend,bent,bent,彎曲,是,have/has bent,
bite,bit,bitten,咬,是,have/has bitten,
blow,blew,blown,吹,是,have/has blown,
borrow,borrowed,borrowed,借入,否,have/has borrowed,
break,broke,broken,打破；休息,是,have/has broken,
bring,brought,brought,帶來,是,have/has brought,
build,built,built,建造,是,have/has built,
burn,burned/burnt,burned/burnt,燃燒,是,have/has burned,
buy,bought,bought,購買,是,have/has bought,
calculate,calculated,calculated,計算,否,have/has calculated,
call,called,called,打電話；稱呼,否,have/has called,
cancel,canceled,canceled,取消,否,have/has canceled,
carry,carried,carried,攜帶,否,have/has carried,
catch,caught,caught,抓住；趕上,是,have/has caught,
cause,caused,caused,造成,否,have/has caused,
celebrate,celebrated,celebrated,慶祝,否,have/has celebrated,
change,changed,changed,改變,否,have/has changed,
choose,chose,chosen,選擇,是,have/has chosen,
combine,combined,combined,結合,否,have/has combined,
come,came,come,來,是,have/has come,
communicate,communicated,communicated,溝通,否,have/has communicated,
compare,compared,compared,比較,否,have/has compared,
complain,complained,complained,抱怨,否,have/has complained,
complete,completed,completed,完成,否,have/has completed,
concentrate,concentrated,concentrated,專心；集中,否,have/has concentrated,
conduct,conducted,conducted,進行；引導,否,have/has conducted,
confirm,confirmed,confirmed,確認,否,have/has confirmed,
connect,connected,connected,連接,否,have/has connected,
consider,considered,considered,考慮；認為,否,have/has considered,
construct,constructed,constructed,建造；構成,否,have/has constructed,
contact,contacted,contacted,聯絡,否,have/has contacted,
contain,contained,contained,包含；容納,否,have/has contained,
continue,continued,continued,繼續,否,have/has continued,
contract,contracted,contracted,縮小；感染,否,have/has contracted,
contribute,contributed,contributed,貢獻,否,have/has contributed,
control,controled,controled,控制,否,have/has controled,
convince,convinced,convinced,說服,否,have/has convinced,
cost,cost,cost,花費,是,have/has cost,
create,created,created,創造,否,have/has created,
cut,cut,cut,切,是,have/has cut,
deal,dealt,dealt,處理；交易,是,have/has dealt,
debate,debated,debated,辯論,否,have/has debated,
decide,decided,decided,決定,否,have/has decided,
decline,declined,declined,下降；拒絕,否,have/has declined,
decrease,decreased,decreased,減少,否,have/has decreased,
deliver,delivered,delivered,遞送；發表,否,have/has delivered,
demand,demanded,demanded,要求,否,have/has demanded,
depend,depended,depended,依靠；取決於,否,have/has depended,
describe,described,described,描述,否,have/has described,
design,designed,designed,設計,否,have/has designed,
desire,desired,desired,渴望,否,have/has desired,
determine,determined,determined,決定；確定,否,have/has determined,
develop,developed,developed,發展,否,have/has developed,
die,died,died,死亡,否,have/has died,
discover,discovered,discovered,發現,否,have/has discovered,
discuss,discussed,discussed,討論,否,have/has discussed,
divide,divided,divided,分開；除以,否,have/has divided,
do,did,done,做,是,have/has done,
download,downloaded,downloaded,下載,否,have/has downloaded,
draw,drew,drawn,畫；拉,是,have/has drawn,
dream,dreamed/dreamt,dreamed/dreamt,做夢；夢想,是,have/has dreamed,
drink,drank,drunk,喝,是,have/has drunk,
drive,drove,driven,駕駛,是,have/has driven,
earn,earned,earned,賺得,否,have/has earned,
eat,ate,eaten,吃,是,have/has eaten,
elect,elected,elected,選出,否,have/has elected,
employ,employed,employed,僱用,否,have/has employed,
encourage,encouraged,encouraged,鼓勵,否,have/has encouraged,
enjoy,enjoyed,enjoyed,享受；喜歡,否,have/has enjoyed,
enter,entered,entered,進入,否,have/has entered,
establish,established,established,建立,否,have/has established,
estimate,estimated,estimated,估計,否,have/has estimated,
examine,examined,examined,檢查,否,have/has examined,
exchange,exchanged,exchanged,交換,否,have/has exchanged,
exist,existed,existed,存在,否,have/has existed,
expand,expanded,expanded,擴大,否,have/has expanded,
expect,expected,expected,預期,否,have/has expected,
explain,explained,explained,解釋,否,have/has explained,
explore,explored,explored,探索,否,have/has explored,
express,expressed,expressed,表達,否,have/has expressed,
fail,failed,failed,失敗,否,have/has failed,
fall,fell,fallen,掉落；跌倒,是,have/has fallen,
feed,fed,fed,餵食,是,have/has fed,
feel,felt,felt,感覺,是,have/has felt,
fight,fought,fought,打鬥；奮鬥,是,have/has fought,
fill,filled,filled,填滿,否,have/has filled,
find,found,found,找到；發現,是,have/has found,
finish,finished,finished,完成,否,have/has finished,
fit,fit/fitted,fit/fitted,適合；安裝,是,have/has fit,
fly,flew,flown,飛,是,have/has flown,
focus,focused,focused,專注,否,have/has focused,
follow,followed,followed,跟隨；遵循,否,have/has followed,
force,forced,forced,迫使,否,have/has forced,
forget,forgot,forgotten,忘記,是,have/has forgotten,
forgive,forgave,forgiven,原諒,是,have/has forgiven,
form,formed,formed,形成,否,have/has formed,
freeze,froze,frozen,結冰；冷凍,是,have/has frozen,
gain,gained,gained,獲得；增加,否,have/has gained,
get,got,got/gotten,得到；變得,是,have/has got,
give,gave,given,給予,是,have/has given,
go,went,gone,去,是,have/has gone,
grow,grew,grown,成長；種植,是,have/has grown,
handle,handled,handled,處理,否,have/has handled,
happen,happened,happened,發生,否,have/has happened,
have,had,had,有,是,have/has had,
hear,heard,heard,聽見,是,have/has heard,
help,helped,helped,幫助,否,have/has helped,
hide,hid,hidden,躲藏；隱藏,是,have/has hidden,
hit,hit,hit,擊打,是,have/has hit,
hold,held,held,拿著；舉行,是,have/has held,
hope,hoped,hoped,希望,否,have/has hoped,
identify,identified,identified,辨認,否,have/has identified,
ignore,ignored,ignored,忽視,否,have/has ignored,
imagine,imagined,imagined,想像,否,have/has imagined,
improve,improved,improved,改善,否,have/has improved,
include,included,included,包含,否,have/has included,
increase,increased,increased,增加,否,have/has increased,
indicate,indicated,indicated,指出；顯示,否,have/has indicated,
influence,influenced,influenced,影響,否,have/has influenced,
intend,intended,intended,打算,否,have/has intended,
introduce,introduced,introduced,介紹；引進,否,have/has introduced,
invest,invested,invested,投資,否,have/has invested,
invite,invited,invited,邀請,否,have/has invited,
involve,involved,involved,涉及,否,have/has involved,
join,joined,joined,加入,否,have/has joined,
keep,kept,kept,保持,是,have/has kept,
know,knew,known,知道；認識,是,have/has known,
lead,led,led,領導；導致,是,have/has led,
learn,learned/learnt,learned/learnt,學習,是,have/has learned,
leave,left,left,離開；留下,是,have/has left,
lend,lent,lent,借出,是,have/has lent,
let,let,let,讓,是,have/has let,
lie,lay,lain,躺；說謊,是,have/has lain,
limit,limited,limited,限制,否,have/has limited,
lose,lost,lost,失去；輸,是,have/has lost,
maintain,maintained,maintained,維持,否,have/has maintained,
make,made,made,製作；使,是,have/has made,
manage,managed,managed,管理；設法做到,否,have/has managed,
mean,meant,meant,意思是；意味著,是,have/has meant,
measure,measured,measured,測量,否,have/has measured,
meet,met,met,遇見；會面,是,have/has met,
mention,mentioned,mentioned,提到,否,have/has mentioned,
move,moved,moved,移動,否,have/has moved,
