單字,詞性,中文意思,優先度,類型,過去式,過去分詞 p.p.,不規則,筆記
a,功能字,一個；一種,A 基礎必會,文法／連接／介系詞,—,—,—,
ability,n.,能力,A 基礎必會,名詞,—,—,—,
able,adj.,能夠的,A 基礎必會,形容詞,—,—,—,
about,功能字,關於；大約,A 基礎必會,文法／連接／介系詞,—,—,—,
above,功能字,在…上方,A 基礎必會,文法／連接／介系詞,—,—,—,
abroad,adv.,在國外,A 基礎必會,副詞,—,—,—,
absence,n.,缺席；不在,A 基礎必會,名詞,—,—,—,
absolute,adj.,絕對的,A 基礎必會,形容詞,—,—,—,
absolutely,adv.,完全地；當然,A 基礎必會,副詞,—,—,—,
academic,adj.,學術的,A 基礎必會,形容詞,—,—,—,
accept,v.,接受,A 基礎必會,動詞,accepted,accepted,否,
access,n.,使用權；存取,A 基礎必會,名詞,—,—,—,
accident,n.,意外；事故,A 基礎必會,名詞,—,—,—,
accompany,v.,陪伴,A 基礎必會,動詞,accompanied,accompanied,否,
accomplish,v.,完成；達成,A 基礎必會,動詞,accomplished,accomplished,否,
account,n.,帳戶；帳目,A 基礎必會,名詞,—,—,—,
accurate,adj.,準確的,A 基礎必會,形容詞,—,—,—,
achieve,v.,達成；實現,A 基礎必會,動詞,achieved,achieved,否,
achievement,n.,成就,A 基礎必會,名詞,—,—,—,
acknowledge,v.,承認；確認,A 基礎必會,動詞,acknowledged,acknowledged,否,
acquire,v.,獲得；習得,A 基礎必會,動詞,acquired,acquired,否,
across,功能字,穿過,A 基礎必會,文法／連接／介系詞,—,—,—,
act,v.,行動；表演,A 基礎必會,動詞,acted,acted,否,
action,n.,行動；動作,A 基礎必會,名詞,—,—,—,
active,adj.,活躍的；積極的,A 基礎必會,形容詞,—,—,—,
activity,n.,活動,A 基礎必會,名詞,—,—,—,
actual,adj.,實際的,A 基礎必會,形容詞,—,—,—,
actually,adv.,事實上,A 基礎必會,副詞,—,—,—,
adapt,v.,適應；改編,A 基礎必會,動詞,adapted,adapted,否,
add,v.,增加；加上,A 基礎必會,動詞,added,added,否,
additional,adj.,額外的,A 基礎必會,形容詞,—,—,—,
address,n.,地址,A 基礎必會,名詞,—,—,—,
adequate,adj.,足夠的；適當的,A 基礎必會,形容詞,—,—,—,
adjust,v.,調整,B 中高級核心,動詞,adjusted,adjusted,否,
administration,n.,管理；行政部門,A 基礎必會,名詞,—,—,—,
admit,v.,承認；准許進入,A 基礎必會,動詞,admitted,admitted,否,
adopt,v.,採用；收養,B 中高級核心,動詞,adopted,adopted,否,
adult,n.,成年人,A 基礎必會,名詞,—,—,—,
advanced,adj.,進階的；先進的,A 基礎必會,形容詞,—,—,—,
advantage,n.,優點；優勢,A 基礎必會,名詞,—,—,—,
adventure,n.,冒險,A 基礎必會,名詞,—,—,—,
advertise,v.,做廣告,B 中高級核心,動詞,advertised,advertised,否,
advertisement,n.,廣告,A 基礎必會,名詞,—,—,—,
advice,n.,建議,A 基礎必會,名詞,—,—,—,
advise,v.,建議,A 基礎必會,動詞,advised,advised,否,
affair,n.,事情；事務,A 基礎必會,名詞,—,—,—,
affect,v.,影響,A 基礎必會,動詞,affected,affected,否,
afford,v.,負擔得起,A 基礎必會,動詞,afforded,afforded,否,
afraid,adj.,害怕的,A 基礎必會,形容詞,—,—,—,
after,功能字,在…之後,A 基礎必會,文法／連接／介系詞,—,—,—,
again,adv.,再一次,A 基礎必會,副詞,—,—,—,
against,功能字,反對；靠著,A 基礎必會,文法／連接／介系詞,—,—,—,
age,n.,年齡；時代,A 基礎必會,名詞,—,—,—,
agency,n.,機構；代理商,A 基礎必會,名詞,—,—,—,
agent,n.,代理人；經紀人,A 基礎必會,名詞,—,—,—,
agree,v.,同意,A 基礎必會,動詞,agreed,agreed,否,
agreement,n.,協議；同意,A 基礎必會,名詞,—,—,—,
agriculture,n.,農業,A 基礎必會,名詞,—,—,—,
ahead,adv.,在前面；提前,A 基礎必會,副詞,—,—,—,
aim,n.,目標,A 基礎必會,名詞,—,—,—,
air,n.,空氣,A 基礎必會,名詞,—,—,—,
airline,n.,航空公司,A 基礎必會,名詞,—,—,—,
airplane,n.,飛機,A 基礎必會,名詞,—,—,—,
airport,n.,機場,A 基礎必會,名詞,—,—,—,
alarm,n.,警報；鬧鐘,A 基礎必會,名詞,—,—,—,
alive,adj.,活著的,A 基礎必會,形容詞,—,—,—,
all,功能字,全部；所有,A 基礎必會,文法／連接／介系詞,—,—,—,
allow,v.,允許,A 基礎必會,動詞,allowed,allowed,否,
almost,adv.,幾乎,A 基礎必會,副詞,—,—,—,
alone,adv.,獨自地,A 基礎必會,副詞,—,—,—,
already,adv.,已經,A 基礎必會,副詞,—,—,—,
also,adv.,也；此外,A 基礎必會,副詞,—,—,—,
although,功能字,雖然,A 基礎必會,文法／連接／介系詞,—,—,—,
always,adv.,總是,A 基礎必會,副詞,—,—,—,
amazing,adj.,令人驚訝的,A 基礎必會,形容詞,—,—,—,
among,功能字,在…之中,A 基礎必會,文法／連接／介系詞,—,—,—,
amount,n.,數量,A 基礎必會,名詞,—,—,—,
an,功能字,一個；一種,A 基礎必會,文法／連接／介系詞,—,—,—,
analysis,n.,分析,A 基礎必會,名詞,—,—,—,
analyze,v.,分析,B 中高級核心,動詞,analyzed,analyzed,否,
ancient,adj.,古代的,A 基礎必會,形容詞,—,—,—,
and,功能字,和；而且,A 基礎必會,文法／連接／介系詞,—,—,—,
anger,n.,憤怒,A 基礎必會,名詞,—,—,—,
angle,n.,角度,A 基礎必會,名詞,—,—,—,
angry,adj.,生氣的,A 基礎必會,形容詞,—,—,—,
animal,n.,動物,A 基礎必會,名詞,—,—,—,
announce,v.,宣布,A 基礎必會,動詞,announced,announced,否,
announcement,n.,公告,A 基礎必會,名詞,—,—,—,
annual,adj.,每年的,A 基礎必會,形容詞,—,—,—,
another,功能字,另一個；再一個,A 基礎必會,文法／連接／介系詞,—,—,—,
anxiety,n.,焦慮,A 基礎必會,名詞,—,—,—,
anxious,adj.,焦慮的；渴望的,A 基礎必會,形容詞,—,—,—,
any,功能字,任何；一些,A 基礎必會,文法／連接／介系詞,—,—,—,
apart,adv.,分開地,A 基礎必會,副詞,—,—,—,
apartment,n.,公寓,A 基礎必會,名詞,—,—,—,
apologize,v.,道歉,B 中高級核心,動詞,apologized,apologized,否,
apparent,adj.,顯然的,A 基礎必會,形容詞,—,—,—,
apparently,adv.,顯然地；看來,A 基礎必會,副詞,—,—,—,
appear,v.,出現；似乎,A 基礎必會,動詞,appeared,appeared,否,
appearance,n.,外表；出現,A 基礎必會,名詞,—,—,—,
application,n.,申請；應用程式,A 基礎必會,名詞,—,—,—,
apply,v.,申請；應用,A 基礎必會,動詞,applied,applied,否,
appointment,n.,預約,A 基礎必會,名詞,—,—,—,
appreciate,v.,感謝；欣賞,B 中高級核心,動詞,appreciated,appreciated,否,
approach,v./n.,接近；處理,B 中高級核心,動詞；名詞,approached,approached,否,
appropriate,adj.,適當的,A 基礎必會,形容詞,—,—,—,
approval,n.,批准；同意,A 基礎必會,名詞,—,—,—,
approve,v.,批准；同意,B 中高級核心,動詞,approved,approved,否,
approximately,adv.,大約,A 基礎必會,副詞,—,—,—,
area,n.,區域；領域,A 基礎必會,名詞,—,—,—,
argue,v.,爭論；主張,A 基礎必會,動詞,argued,argued,否,
argument,n.,爭論；論點,A 基礎必會,名詞,—,—,—,
arm,n.,手臂,A 基礎必會,名詞,—,—,—,
army,n.,軍隊,A 基礎必會,名詞,—,—,—,
around,adv.,在周圍；大約,A 基礎必會,副詞,—,—,—,
arrange,v.,安排,A 基礎必會,動詞,arranged,arranged,否,
arrive,v.,到達,A 基礎必會,動詞,arrived,arrived,否,
art,n.,藝術,A 基礎必會,名詞,—,—,—,
article,n.,文章；物品,A 基礎必會,名詞,—,—,—,
artist,n.,藝術家,A 基礎必會,名詞,—,—,—,
as,功能字,作為；當…時；和…一樣,A 基礎必會,文法／連接／介系詞,—,—,—,
ask,v.,詢問；要求,A 基礎必會,動詞,asked,asked,否,
aspect,n.,方面,A 基礎必會,名詞,—,—,—,
assist,v.,協助,B 中高級核心,動詞,assisted,assisted,否,
assistance,n.,協助,A 基礎必會,名詞,—,—,—,
assistant,n.,助理,A 基礎必會,名詞,—,—,—,
association,n.,協會；關聯,A 基礎必會,名詞,—,—,—,
