片語／固定搭配,中文意思,類型,是否熟悉,自己的例句／筆記
a bit,一點；有點,固定搭配,,
a few,一些；幾個,固定搭配,,
a little,一點；少量,固定搭配,,
a lot of,許多；大量,固定搭配,,
above all,最重要的是,固定搭配,,
according to,根據,介系詞／連接片語,,
according to the passage,根據文章,介系詞／連接片語,,
after all,畢竟；終究,固定搭配,,
again and again,一再地；反覆地,固定搭配,,
all at once,突然；同時,固定搭配,,
all kinds of,各種各樣的,固定搭配,,
all over,遍及；到處,固定搭配,,
all right,好的；沒問題,固定搭配,,
along with,連同；和…一起,固定搭配,,
and so on,等等,固定搭配,,
apart from,除了…之外；此外,固定搭配,,
as a matter of fact,事實上,固定搭配,,
as a result,因此,固定搭配,,
as a result of,由於；因為,固定搭配,,
as a whole,整體而言,固定搭配,,
as compared with,與…相比,固定搭配,,
as far as,就…而言；遠至,固定搭配,,
as far as I know,據我所知,固定搭配,,
as follows,如下,固定搭配,,
as for,至於,固定搭配,,
as if,好像,固定搭配,,
as long as,只要；和…一樣長,固定搭配,,
as soon as,一…就…,固定搭配,,
as well,也,固定搭配,,
as well as,以及；和…一樣好,固定搭配,,
at a time,一次；每次,介系詞／連接片語,,
at any rate,無論如何,介系詞／連接片語,,
at first,起初,介系詞／連接片語,,
at last,最後；終於,介系詞／連接片語,,
at least,至少,介系詞／連接片語,,
at most,至多,介系詞／連接片語,,
at once,立刻；同時,介系詞／連接片語,,
at present,目前,介系詞／連接片語,,
at risk,處於風險中,介系詞／連接片語,,
at the moment,目前；此刻,介系詞／連接片語,,
at the same time,同時,介系詞／連接片語,,
be able to,能夠,固定搭配,,
be afraid of,害怕,固定搭配,,
be aware of,意識到,固定搭配,,
be based on,以…為基礎,固定搭配,,
be born in,出生於,固定搭配,,
be busy with,忙於,固定搭配,,
be capable of,有能力做,固定搭配,,
be careful with,小心對待,固定搭配,,
be composed of,由…組成,固定搭配,,
be concerned about,擔心；關心,固定搭配,,
be different from,與…不同,固定搭配,,
be due to,由於；預定,固定搭配,,
be engaged in,從事,固定搭配,,
be familiar with,熟悉,固定搭配,,
be famous for,以…聞名,固定搭配,,
be full of,充滿,固定搭配,,
be good at,擅長,固定搭配,,
be interested in,對…感興趣,固定搭配,,
be involved in,參與；涉及,固定搭配,,
be known for,以…聞名,固定搭配,,
be likely to,很可能,固定搭配,,
be made of,由…製成,固定搭配,,
be opposed to,反對,固定搭配,,
be proud of,以…為傲,固定搭配,,
be ready for,準備好,固定搭配,,
be related to,與…有關,固定搭配,,
be responsible for,負責,固定搭配,,
be satisfied with,對…滿意,固定搭配,,
be similar to,與…相似,固定搭配,,
be supposed to,應該；被期望,固定搭配,,
be used to,習慣於,固定搭配,,
be willing to,願意,固定搭配,,
belong to,屬於,固定搭配,,
break down,故障；分解；崩潰,動詞片語,,
break out,爆發,動詞片語,,
bring about,造成；引起,動詞片語,,
bring attention to,引起對…注意,動詞片語,,
bring up,提出；養育,動詞片語,,
by accident,偶然地,介系詞／連接片語,,
by chance,偶然；碰巧,介系詞／連接片語,,
by contrast,相比之下,介系詞／連接片語,,
by means of,藉由,介系詞／連接片語,,
by no means,絕不,介系詞／連接片語,,
by the time,到…的時候,介系詞／連接片語,,
by the way,順帶一提,介系詞／連接片語,,
call back,回電話,動詞片語,,
call for,需要；要求,動詞片語,,
call off,取消,動詞片語,,
care about,在意,固定搭配,,
care for,照顧；喜歡,固定搭配,,
carry on,繼續,動詞片語,,
carry out,執行；實施,動詞片語,,
catch up with,趕上,固定搭配,,
check in,辦理報到,動詞片語,,
check out,退房；查看,動詞片語,,
come across,偶然遇見；看到,動詞片語,,
come back,回來,動詞片語,,
come from,來自,動詞片語,,
come into effect,生效,動詞片語,,
come to a conclusion,得出結論,動詞片語,,
come true,實現,動詞片語,,
come up with,想出,動詞片語,,
compare A to B,把A比作B,固定搭配,,
compare A with B,比較A與B,固定搭配,,
concentrate on,專心於,固定搭配,,
consist of,由…組成,固定搭配,,
contribute to,促成；有助於,固定搭配,,
cope with,應付,固定搭配,,
count on,依靠,固定搭配,,
cut down on,減少,動詞片語,,
deal with,處理,固定搭配,,
depend on,依靠；取決於,固定搭配,,
do one's best,盡全力,固定搭配,,
do with,處理；與…有關,固定搭配,,
do without,沒有…也行,固定搭配,,
draw a conclusion,得出結論,固定搭配,,
draw attention to,引起注意,固定搭配,,
due to,由於,介系詞／連接片語,,
each other,彼此,固定搭配,,
end up,最後變成；最終,固定搭配,,
even if,即使,固定搭配,,
even though,儘管,固定搭配,,
ever since,自從那時起,固定搭配,,
every now and then,偶爾,固定搭配,,
except for,除了…之外,固定搭配,,
fall asleep,睡著,動詞片語,,
fall behind,落後,動詞片語,,
fall in love with,愛上,動詞片語,,
far from,遠非；離…很遠,固定搭配,,
feel like,想要；感覺像,固定搭配,,
figure out,弄懂；算出,固定搭配,,
fill in,填寫；填補,動詞片語,,
fill out,填寫表格,動詞片語,,
find out,查明；發現,動詞片語,,
first of all,首先,固定搭配,,
focus on,專注於,固定搭配,,
for example,例如,介系詞／連接片語,,
for instance,例如,介系詞／連接片語,,
for sure,肯定地,介系詞／連接片語,,
for the purpose of,為了…目的,介系詞／連接片語,,
for this reason,因此,介系詞／連接片語,,
from now on,從現在起,介系詞／連接片語,,
from time to time,偶爾,介系詞／連接片語,,
get along with,與…相處,動詞片語,,
get away,離開；逃脫,動詞片語,,
get back,回來；取回,動詞片語,,
get in,進入,動詞片語,,
get off,下車；離開,動詞片語,,
get on,上車；進展,動詞片語,,
get out,出去,動詞片語,,
get over,克服；恢復,動詞片語,,
get ready for,為…做準備,動詞片語,,
get rid of,擺脫；除去,動詞片語,,
get together,聚會,動詞片語,,
get used to,習慣於,動詞片語,,
give away,贈送；洩漏,動詞片語,,
give back,歸還,動詞片語,,
give rise to,引起；導致,動詞片語,,
give up,放棄,動詞片語,,
go ahead,繼續；請便,動詞片語,,
go away,離開,動詞片語,,
go back,回去,動詞片語,,
go on,繼續；發生,動詞片語,,
go out,外出；熄滅,動詞片語,,
go over,複習；仔細檢查,動詞片語,,
grow up,長大,固定搭配,,
had better,最好,固定搭配,,
hand in,繳交,固定搭配,,
hang out,閒逛；一起玩,固定搭配,,
have a good time,玩得愉快,固定搭配,,
have access to,能使用；能取得,固定搭配,,
have an effect on,對…有影響,固定搭配,,
have difficulty in,在…有困難,固定搭配,,
have something to do with,與…有關,固定搭配,,
have trouble with,在…方面有困難,固定搭配,,
hear from,收到…的消息,固定搭配,,
help with,幫忙…,固定搭配,,
hold on,稍等；堅持,固定搭配,,
how about,…怎麼樣,固定搭配,,
in accordance with,按照,介系詞／連接片語,,
in addition,此外,介系詞／連接片語,,
in addition to,除了…之外還,介系詞／連接片語,,
in advance,事先,介系詞／連接片語,,
in all,總共,介系詞／連接片語,,
in case,以防萬一,介系詞／連接片語,,
in charge of,負責,介系詞／連接片語,,
in common,共同；共有,介系詞／連接片語,,
in comparison with,與…相比,介系詞／連接片語,,
in contrast,相反地,介系詞／連接片語,,
in contrast to,與…相反,介系詞／連接片語,,
in danger,處於危險中,介系詞／連接片語,,
in detail,詳細地,介系詞／連接片語,,
in effect,實際上；生效,介系詞／連接片語,,
in fact,事實上,介系詞／連接片語,,
in favor of,贊成,介系詞／連接片語,,
in front of,在…前面,介系詞／連接片語,,
in general,一般而言,介系詞／連接片語,,
in order to,為了,介系詞／連接片語,,
in other words,換句話說,介系詞／連接片語,,
in particular,尤其；特別,介系詞／連接片語,,
in public,公開地,介系詞／連接片語,,
in return,作為回報,介系詞／連接片語,,
in short,簡言之,介系詞／連接片語,,
in spite of,儘管,介系詞／連接片語,,
in terms of,就…而言,介系詞／連接片語,,
in the end,最後,介系詞／連接片語,,
in the future,未來,介系詞／連接片語,,
in the long run,長期來看,介系詞／連接片語,,
in the meantime,同時；在此期間,介系詞／連接片語,,
in the short run,短期來看,介系詞／連接片語,,
in time,及時,介系詞／連接片語,,
in turn,依次；反過來,介系詞／連接片語,,
instead of,而不是；代替,固定搭配,,
it is likely that,很可能…,固定搭配,,
keep in mind,記住,動詞片語,,
keep on,繼續,動詞片語,,
keep up with,跟上,動詞片語,,
kind of,有點；某種,固定搭配,,
lead to,導致,固定搭配,,
learn about,了解,固定搭配,,
leave out,省略；遺漏,固定搭配,,
let alone,更不用說,動詞片語,,
let down,使失望,動詞片語,,
look after,照顧,動詞片語,,
look at,看,動詞片語,,
look for,尋找,動詞片語,,
look forward to,期待,動詞片語,,
look into,調查,動詞片語,,
look like,看起來像,動詞片語,,
look out,小心,動詞片語,,
look up,查詢；仰望,動詞片語,,
make a decision,做決定,動詞片語,,
make a difference,產生影響,動詞片語,,
make a mistake,犯錯,動詞片語,,
make an effort,努力,動詞片語,,
make friends with,與…交朋友,動詞片語,,
make progress,取得進步,動詞片語,,
make sure,確定；務必,動詞片語,,
make up,組成；編造；和好,動詞片語,,
make use of,利用,動詞片語,,
more and more,越來越多,固定搭配,,
more or less,或多或少,固定搭配,,
no longer,不再,固定搭配,,
no matter how,無論如何,固定搭配,,
no matter what,無論什麼,固定搭配,,
not only...but also,不但…而且,固定搭配,,
now and then,偶爾,固定搭配,,
of course,當然,固定搭配,,
on average,平均而言,介系詞／連接片語,,
on behalf of,代表,介系詞／連接片語,,
on purpose,故意地,介系詞／連接片語,,
on the basis of,以…為基礎,介系詞／連接片語,,
on the contrary,相反地,介系詞／連接片語,,
on the other hand,另一方面,介系詞／連接片語,,
on the whole,整體而言,介系詞／連接片語,,
